,index,high_nei,high_sim,low_nei,low_sim
31,31,"198, 84, 69","0.6846908541445772, 0.6417369514949792, 0.6216015739710031","69, 335, 198","0.10389416, 3.5149465, 5.4140015"
32,32,"352, 438, 363","0.7680817084707183, 0.7657660141926742, 0.7222071539695396","363, 352, 94","1.2348943, 1.4567026, 4.0394855"
33,33,"313, 435, 355","0.8329398228812604, 0.8301755847619374, 0.7868243845483605","435, 341, 132","1.0051633, 1.7050829, 1.9566073"
34,34,"490, 220, 339","0.750294702216225, 0.7416673605177782, 0.7385362466221611","204, 434, 257","4.5339723, 5.122631, 5.7529426"
35,35,"438, 67, 110","0.6554205917698267, 0.6336451814862715, 0.6299498652097688","489, 101, 384","0.52657866, 2.23249, 2.8751667"
36,36,"267, 425, 46","0.7386716738678583, 0.7107310308384915, 0.6980462580326071","425, 182, 422","0.028849438, 3.518046, 4.6020107"
37,37,"12, 442, 291","0.6966628734627313, 0.6691524179720988, 0.6679511812149307","12, 291, 442","2.205218, 3.452679, 3.7339292"
38,38,"343, 261, 49","0.7505713640881007, 0.6879233142000459, 0.6374037988428866","343, 299, 458","2.9947472e-05, 10.877735, 11.646191"
39,39,"485, 215, 497","0.8705326353234787, 0.8339217134591494, 0.7992198880794638","485, 492, 391","0.10708906, 2.717441, 3.2800653"
40,40,"401, 6, 378","0.7878327762260618, 0.7841750367510816, 0.7438750392237089","6, 284, 242","0.0005515035, 4.742332, 8.926198"
41,41,"319, 125, 399","0.7131102322914945, 0.6642704925060515, 0.6617681631968877","125, 446, 319","2.5593314, 3.1061246, 3.3068135"
42,42,"195, 104, 77","0.9185110840851182, 0.9108951754388427, 0.9044971959463527","104, 77, 195","1.0740802, 1.4273083, 1.665661"
43,43,"494, 139, 244","0.8294520085545461, 0.7930138296522278, 0.7914158127495339","494, 90, 154","0.6409016, 1.993621, 3.0143242"
44,44,"484, 268, 345","0.8346784373896311, 0.8291920996493509, 0.8208770488105207","268, 484, 345","0.5122792, 0.75321025, 1.6133811"
45,45,"290, 162, 78","0.7992590504150948, 0.7645301073646262, 0.7508874257361281","290, 334, 58","0.6670388, 1.3635551, 2.0161028"
46,46,"5, 491, 484","0.7700307459037022, 0.748028613023019, 0.7233375130861577","5, 491, 360","0.09674893, 0.9115852, 4.0709662"
47,47,"278, 91, 349","0.6796461959510828, 0.614641805070646, 0.6031842516959492","278, 296, 382","1.3550298, 1.8402176, 4.224543"
48,48,"54, 59, 332","0.7389330337053062, 0.7232633723629842, 0.6838380504309904","474, 59, 226","2.4976375, 3.338007, 5.2015977"
49,49,"493, 320, 457","0.7699648317305444, 0.7394127680296716, 0.73220978457017","457, 493, 70","0.8632252, 0.96528614, 2.7802012"
50,50,"134, 240, 126","0.7435378670122937, 0.7242704567657781, 0.7191700203543666","240, 134, 470","0.7601139, 4.859679, 6.4720535"
51,51,"365, 82, 120","0.7319227482260687, 0.7024891966790182, 0.7017277714688207","288, 446, 125","1.6440599, 2.737796, 3.3417473"
52,52,"265, 498, 51","0.716227858576693, 0.6651817717810928, 0.6607197457801318","332, 477, 288","0.3329917, 3.7049327, 5.8715024"
53,53,"293, 328, 321","0.7482737198745696, 0.7246869469425246, 0.7241372486021594","293, 328, 156","1.8183588, 2.4312015, 7.9391837"
54,54,"190, 319, 429","0.774391707835983, 0.7689193181464683, 0.7657173312993176","429, 157, 281","0.94387245, 2.1287005, 2.5645492"
55,55,"11, 153, 234","0.9393325716131693, 0.9248528534688865, 0.918858056525291","234, 153, 11","0.6502106, 0.8086369, 0.8642062"
56,56,"146, 330, 210","0.8549725228263293, 0.8185656901514858, 0.7526147126393212","146, 330, 113","0.052793887, 0.71550447, 1.3104795"
57,57,"377, 220, 339","0.8793763270232784, 0.8700306687655193, 0.8646510159038125","172, 179, 220","1.5512037, 1.652771, 1.7380319"
58,58,"314, 275, 20","0.6784978096929593, 0.672679815554763, 0.6722107509021615","45, 290, 334","2.0161028, 4.484836, 6.60188"
59,59,"250, 226, 48","0.7696158041748581, 0.7435773634242183, 0.7232633723629842","250, 226, 48","0.3595591, 1.1539997, 3.338007"
60,60,"292, 393, 279","0.664462174745681, 0.6606817066827524, 0.6507784868233176","247, 459, 373","1.7540823, 2.158514, 4.2834225"
61,61,"256, 378, 180","0.8830695901229245, 0.8244446109866329, 0.7742145080455399","256, 180, 282","0.25125232, 1.009348, 1.9085107"
62,62,"44, 16, 220","0.7934652992663355, 0.7818511441272765, 0.7783635586690485","345, 44, 268","0.9553252, 2.5958323, 2.9604588"
63,63,"137, 334, 86","0.6201972558646377, 0.5974935629488076, 0.5917624766942632","137, 82, 477","0.34916812, 8.73584, 11.065342"
64,64,"438, 376, 443","0.6479561679272052, 0.6355025932563267, 0.6103921601077545","438, 85, 171","0.6742572, 8.873372, 10.207586"
65,65,"66, 390, 402","0.729820927729466, 0.7232404066996333, 0.6956309573480038","390, 21, 248","2.2466433, 5.5803027, 7.0269976"
66,66,"140, 478, 316","0.7548945367761387, 0.74518817347676, 0.7339424608188917","140, 5, 244","0.002715376, 7.2717147, 7.3379745"
67,67,"272, 124, 151","0.7461605812730036, 0.7192158813758434, 0.7071105368202293","420, 397, 217","2.4352603, 3.0754771, 4.872721"
68,68,"161, 99, 112","0.9028706829466804, 0.9026203754272267, 0.8992259621097103","339, 99, 475","0.47124973, 1.4099433, 1.5795356"
69,69,"390, 227, 468","0.6673378052325927, 0.6626539598641843, 0.6532781004598754","31, 335, 324","0.10389416, 4.560632, 5.0763454"
70,70,"457, 372, 493","0.7372931461266123, 0.7197195079405188, 0.7124808632007559","241, 457, 428","0.6004351, 0.88742113, 1.3492281"
71,71,"410, 238, 270","0.7739119473252255, 0.7501726220501038, 0.7436770749528429","410, 388, 333","0.7294766, 1.5409992, 2.1574867"
72,72,"145, 197, 395","0.7514033809351311, 0.7289888544327344, 0.6990559888913752","197, 251, 432","0.6168768, 4.735506, 6.529813"
73,73,"487, 110, 3","0.6994030966335819, 0.6888120222462109, 0.6876703555279116","487, 3, 371","0.030084318, 2.5547569, 5.1886435"
74,74,"115, 314, 39","0.8292340011482698, 0.7581568893541984, 0.7579165058149459","115, 162, 62","0.024398472, 1.6976283, 4.1027036"
75,75,"493, 131, 457","0.7423216740235762, 0.693983050960754, 0.6836801656460724","49, 493, 457","3.6766176, 5.9266987, 6.5800657"
76,76,"355, 152, 349","0.809652832732218, 0.7714209659461524, 0.7691824947134228","375, 173, 107","1.5866835, 3.1263075, 3.6500282"
77,77,"426, 42, 104","0.9174684490885258, 0.9044971959463527, 0.9004684321877683","426, 104, 42","0.67732716, 1.1003332, 1.4273083"
78,78,"215, 391, 115","0.7759271516830333, 0.7595563036792056, 0.7553491544467532","215, 466, 191","0.7689978, 1.0244609, 2.7677824"
79,79,"253, 335, 361","0.76726821795328, 0.7608333457692419, 0.7346405734145731","84, 433, 361","1.0655918, 3.0659752, 4.1248245"
80,80,"229, 208, 237","0.7466631646311825, 0.7138460295183329, 0.6578582547307461","237, 369, 464","1.1624434, 2.311773, 2.362745"
81,81,"267, 107, 375","0.7140470345055684, 0.7103489460065562, 0.6916318907848831","107, 267, 375","1.1550102, 1.9570417, 2.2764342"
82,82,"51, 183, 48","0.7024891966790182, 0.683674508454261, 0.6731783032222454","463, 477, 63","5.7017355, 6.097375, 8.73584"
83,83,"128, 474, 119","0.7296214051862889, 0.7264803183466325, 0.7228077184839915","128, 381, 98","1.4006655, 2.373352, 3.3633513"
84,84,"198, 79, 31","0.6955183279989408, 0.6610630415550912, 0.6417369514949792","79, 361, 433","1.0655918, 2.1903117, 5.856325"
85,85,"438, 171, 217","0.6949820589678518, 0.685039212933859, 0.6607364162198827","171, 438, 64","0.0656008, 6.71946, 8.873372"
86,86,"10, 480, 154","0.7113927027572642, 0.708453205755624, 0.7075160709801891","311, 456, 233","2.928514, 4.175754, 4.602193"
87,87,"84, 213, 430","0.5232606175581386, 0.5181922044306277, 0.5125496819323436","260, 227, 444","27.070538, 27.601274, 32.698288"
88,88,"207, 442, 310","0.7236314320509711, 0.676868005697499, 0.6500059669996706","207, 239, 228","0.26331693, 2.1651914, 3.8944738"
89,89,"363, 23, 94","0.7009216387852103, 0.6926612557417097, 0.6824991713738634","130, 201, 318","3.4008102, 3.7334168, 3.804237"
90,90,"494, 380, 139","0.8791418628835117, 0.8364333612695197, 0.8251622712153269","494, 43, 380","0.4185671, 1.993621, 4.3027086"
91,91,"435, 33, 199","0.7985826380460651, 0.7783016527997716, 0.7728224155824536","454, 495, 149","3.5721507, 4.222372, 4.4265604"
92,92,"116, 263, 388","0.6705996657210773, 0.6238676705690371, 0.6224407718799476","116, 163, 253","2.1044965, 3.8830926, 4.1691613"
93,93,"23, 89, 144","0.6958797623474531, 0.6607124953231674, 0.6509061753487345","448, 384, 35","0.51310635, 11.819004, 13.383305"
94,94,"441, 363, 252","0.8023482673663759, 0.7617494000523551, 0.7546714720334595","441, 252, 352","0.5319587, 1.0480951, 1.9467645"
95,95,"355, 495, 170","0.7968420176412804, 0.7749596017423956, 0.7572193688240455","170, 276, 181","1.0929173, 3.630186, 4.163369"
96,96,"272, 18, 178","0.8345156854060356, 0.8211830296204098, 0.8041453709047658","272, 18, 216","0.35457882, 0.5108152, 2.0009909"
97,97,"138, 15, 482","0.9094126618579497, 0.892358750184669, 0.891579431444214","482, 255, 475","0.55525285, 1.0288167, 1.1766881"
98,98,"226, 474, 110","0.698355912650266, 0.6928456972809156, 0.6905077286775055","450, 226, 83","2.7783682, 2.8297994, 3.3633513"
99,99,"112, 161, 68","0.9085628742141747, 0.9032562211062315, 0.9026203754272267","68, 475, 242","1.4099433, 1.4585131, 1.7000866"
100,100,"298, 19, 72","0.7479620387611643, 0.7009053945608993, 0.6848235854122419","298, 19, 427","0.18510446, 0.59204495, 1.822073"
101,101,"384, 243, 194","0.6848579474433822, 0.6835896154339816, 0.6607126751539625","122, 489, 35","0.97570133, 1.41168, 2.23249"
102,102,"150, 322, 121","0.8372462175628448, 0.8292585089367902, 0.8128201854662356","121, 150, 103","1.4237806, 2.1553411, 3.3053975"
103,103,"317, 96, 272","0.8064325702290953, 0.7784265058769682, 0.7759420415105577","121, 287, 366","0.4550869, 2.2684298, 2.830205"
104,104,"195, 42, 77","0.9342453507520369, 0.9108951754388427, 0.9004684321877683","42, 77, 195","1.0740802, 1.1003332, 1.4426676"
105,105,"198, 69, 390","0.6384900661630047, 0.6334792712678465, 0.6269270551658499","79, 433, 376","5.010746, 5.1722856, 6.8963065"
106,106,"170, 404, 160","0.6789535049395388, 0.6534056931509659, 0.6533373170056337","307, 265, 206","1.8032782, 5.01375, 6.0890765"
107,107,"375, 400, 267","0.8088909873219035, 0.7721988242522642, 0.7680916636128329","375, 400, 81","0.5048391, 0.8711703, 1.1550102"
108,108,"405, 7, 414","0.827107805685196, 0.743330416107691, 0.7204343965151826","405, 7, 238","0.0076635685, 2.3399627, 2.5095327"
109,109,"206, 357, 182","0.7421256272276529, 0.7418934221262301, 0.734383914502773","221, 24, 224","0.90855104, 2.3244605, 3.007845"
110,110,"128, 474, 238","0.7787589876128165, 0.7723437052168942, 0.7555871463216308","128, 450, 83","0.7738538, 2.9558663, 3.5260296"
111,111,"490, 469, 252","0.7829928139377321, 0.7647644711323842, 0.7595927866521462","14, 490, 469","1.2500741, 1.403272, 2.8136704"
112,112,"161, 339, 99","0.935505117004335, 0.9094380956897579, 0.9085628742141747","161, 339, 475","0.5970759, 1.1345968, 1.5912579"
113,113,"56, 146, 54","0.7463701174679226, 0.7368978358520325, 0.7277037880737597","56, 146, 429","1.3104795, 1.8346007, 2.6717339"
114,114,"328, 321, 426","0.9066043625660074, 0.8996120337088283, 0.8964943884893809","321, 472, 426","0.90851444, 1.5201142, 1.789177"
115,115,"74, 345, 39","0.8292340011482698, 0.7907150659277157, 0.7849608319021805","74, 162, 62","0.024398472, 2.112099, 3.6452425"
116,116,"163, 399, 167","0.7689664788144773, 0.7494853874296131, 0.7307139339346234","163, 306, 92","0.43986672, 1.21733, 2.1044965"
117,117,"243, 384, 346","0.7778937725862781, 0.7552692911628826, 0.7468643259561121","346, 243, 325","0.2067103, 1.4481144, 2.5577488"
118,118,"184, 322, 380","0.7950355272496678, 0.7765420053109765, 0.7603272046301368","465, 216, 275","0.6900741, 2.8045676, 2.828101"
119,119,"83, 129, 381","0.7228077184839915, 0.7078511957906342, 0.6836650603783505","381, 129, 359","1.5324408, 1.6128153, 2.9831862"
120,120,"125, 409, 315","0.764797243611491, 0.7335660241967273, 0.7307049879028484","125, 446, 183","1.410121, 2.0585115, 3.0485532"
121,121,"102, 380, 90","0.8128201854662356, 0.8085789559400816, 0.8036740675737634","103, 102, 175","0.4550869, 1.4237806, 2.3938723"
122,122,"448, 228, 384","0.6888090602970983, 0.6884811807886102, 0.6744719862539339","101, 489, 35","0.97570133, 4.7339125, 5.8338494"
123,123,"327, 160, 485","0.5684171326000921, 0.5558215281778374, 0.5557551291225741","327, 259, 369","0.024164546, 1.5116292, 7.76417"
124,124,"178, 216, 18","0.7925260715079948, 0.7494140078170021, 0.7332072589095173","13, 184, 178","0.8133775, 3.7064412, 5.907904"
125,125,"120, 446, 433","0.764797243611491, 0.7628942976357512, 0.7524774257944712","446, 120, 41","0.09896384, 1.410121, 2.5593314"
126,126,"134, 470, 169","0.7544566524162043, 0.7384123636458807, 0.7236087205764777","470, 169, 134","0.68225473, 2.044721, 3.026519"
127,127,"1, 4, 303","0.8315727978430861, 0.7568057117889444, 0.7416606654731009","303, 401, 270","0.87083477, 2.9952557, 3.285798"
128,128,"110, 187, 83","0.7787589876128165, 0.7501726085079339, 0.7296214051862889","110, 83, 450","0.7738538, 1.4006655, 1.740529"
129,129,"359, 119, 381","0.7362711475737492, 0.7078511957906342, 0.703458970064564","359, 119, 381","0.22388412, 1.6128153, 3.4894648"
130,130,"201, 318, 300","0.6962976886265972, 0.6908508783407715, 0.6775888051380007","201, 318, 89","0.59942424, 1.3031445, 3.4008102"
131,131,"193, 493, 75","0.7418999557529106, 0.7260621638072953, 0.693983050960754","329, 193, 8","0.33541155, 2.0282335, 3.3089974"
132,132,"313, 341, 345","0.8040016206059012, 0.7803731459494123, 0.7785997028234426","341, 435, 33","0.5702343, 1.5157212, 1.9566073"
133,133,"246, 403, 444","0.7364299964296636, 0.6952936998768982, 0.6855813605672246","246, 403, 227","0.13451195, 2.5078921, 2.9651146"
134,134,"240, 470, 126","0.8057704961498378, 0.7967855568039843, 0.7544566524162043","470, 25, 126","0.84464693, 2.4758842, 3.026519"
135,135,"229, 237, 80","0.7032188935281299, 0.6500675209853772, 0.6407067534483664","229, 329, 131","0.004364192, 6.062065, 6.7676983"
136,136,"375, 221, 357","0.712626485091513, 0.7036124647820687, 0.6916983755541085","221, 357, 109","1.203163, 3.1725698, 3.2292447"
137,137,"63, 242, 21","0.6201972558646377, 0.6065266727605146, 0.5706180328435556","63, 82, 168","0.34916812, 11.930515, 13.900608"
138,138,"97, 165, 141","0.9094126618579497, 0.907163134756187, 0.9028799400497922","165, 471, 482","0.628364, 1.1999887, 1.5501738"
139,139,"494, 244, 90","0.8552383228739243, 0.8429606161728762, 0.8251622712153269","244, 467, 245","3.6576965, 5.1352677, 7.655131"
140,140,"66, 81, 25","0.7548945367761387, 0.6891983871708478, 0.643045026925033","66, 244, 5","0.002715376, 7.3089375, 7.548032"
141,141,"138, 323, 15","0.9028799400497922, 0.8987241038950134, 0.8829914575139707","323, 165, 482","0.40035918, 1.1142367, 1.8787737"
142,142,"164, 167, 188","0.8887482252104195, 0.8877935619802779, 0.8588550690824904","167, 164, 223","1.2428764, 1.4718945, 1.7932872"
143,143,"254, 435, 2","0.7900269728734958, 0.7878996798929133, 0.7820020898905592","254, 349, 355","0.35097125, 2.6806076, 3.31197"
144,144,"252, 490, 111","0.7636391435382108, 0.7300492511796371, 0.721178230082303","23, 252, 441","1.2192597, 2.5912132, 2.8323374"
145,145,"72, 350, 197","0.7514033809351311, 0.7513238827222429, 0.7394918388479824","213, 412, 198","0.57399225, 11.039402, 28.505568"
146,146,"56, 330, 319","0.8549725228263293, 0.8338334855379282, 0.7549662687357711","56, 330, 113","0.052793887, 0.5247555, 1.8346007"
147,147,"488, 383, 307","0.7810167550230026, 0.7395125714870245, 0.7085016556747543","383, 480, 295","0.04401748, 5.1512756, 7.4278784"
148,148,"305, 158, 301","0.7258290530432208, 0.7245907151063341, 0.7216261010882735","305, 158, 301","1.2320858, 1.7423424, 2.5527375"
149,149,"235, 173, 277","0.8723898910813567, 0.7728736763308828, 0.7696491859876341","235, 277, 451","0.00720213, 1.4774382, 1.9607067"
150,150,"102, 497, 485","0.8372462175628448, 0.8349603960065339, 0.8073498078614405","338, 152, 102","1.3061957, 1.3935757, 2.1553411"
151,151,"187, 67, 178","0.7237001140044285, 0.7071105368202293, 0.6899983015232334","202, 389, 499","0.27810156, 3.9234986, 4.124306"
152,152,"338, 355, 96","0.8282015950021387, 0.7762175020440332, 0.7737683879058567","338, 150, 366","0.48786998, 1.3935757, 2.7952175"
153,153,"234, 55, 161","0.9362928771157356, 0.9248528534688865, 0.90920818842115","234, 55, 68","0.51827735, 0.8086369, 1.9184654"
154,154,"139, 10, 287","0.8040464911357255, 0.8008566682402938, 0.7913531217468043","10, 440, 287","0.7281792, 1.4126903, 1.6684594"
155,155,"315, 409, 187","0.794466286601775, 0.756350941822296, 0.7511935110097119","187, 409, 368","0.5731654, 0.9896071, 3.519629"
156,156,"225, 214, 423","0.8899875311219189, 0.8594006696662966, 0.8414613524168376","214, 225, 285","1.716916, 1.7307302, 5.4304285"
157,157,"190, 54, 315","0.7425075586566174, 0.7215918866173147, 0.694692305639644","190, 54, 351","1.8336498, 2.1287005, 3.3450692"
158,158,"416, 238, 7","0.762258454851801, 0.7398942863705822, 0.733970868420372","301, 416, 148","0.9379635, 1.3804454, 1.7423424"
159,159,"469, 490, 351","0.7843057813252585, 0.7798661681528808, 0.7669087376232915","469, 490, 111","0.3626565, 0.68504626, 4.0257154"
160,160,"404, 170, 233","0.7530112078445155, 0.7405779571779257, 0.7191278969948426","404, 279, 449","0.6644689, 2.2356298, 3.5559828"
161,161,"112, 339, 153","0.935505117004335, 0.910784351020712, 0.90920818842115","112, 339, 447","0.5970759, 0.6064383, 0.95054376"
162,162,"45, 62, 341","0.7645301073646262, 0.7525776206880967, 0.749668412763982","74, 115, 497","1.6976283, 2.112099, 4.664301"
163,163,"116, 361, 433","0.7689664788144773, 0.6946251142840929, 0.6727442001778139","116, 361, 306","0.43986672, 2.3610148, 2.3689008"
164,164,"167, 195, 223","0.921356885233147, 0.900536700963729, 0.8947524569493194","167, 142, 195","1.0382661, 1.4718945, 1.4777324"
165,165,"138, 323, 482","0.907163134756187, 0.8996829556132219, 0.8870966058115128","138, 471, 141","0.628364, 1.0256295, 1.1142367"
166,166,"207, 228, 469","0.7630955894506728, 0.7013855403653416, 0.6992260116816534","304, 367, 299","1.5649803, 2.1260314, 8.228217"
167,167,"223, 195, 164","0.940052084611304, 0.9219198043307629, 0.921356885233147","415, 223, 164","0.86870575, 1.0086353, 1.0382661"
168,168,"365, 250, 226","0.6545137122217201, 0.6479113011587739, 0.6462362180593436","52, 332, 376","6.36926, 8.204435, 9.301524"
169,169,"126, 289, 407","0.7236087205764777, 0.6481633772516364, 0.6451903844735689","126, 470, 240","2.044721, 4.155653, 7.647925"
170,170,"404, 230, 355","0.7829750284767699, 0.7738870267860392, 0.7728645246327304","95, 276, 435","1.0929173, 2.4001398, 2.4076157"
171,171,"211, 94, 32","0.757201338040655, 0.7157988521895385, 0.71193575680261","85, 347, 438","0.0656008, 7.589154, 7.6607814"
172,172,"399, 134, 57","0.7423246874645218, 0.7378491588701558, 0.7361953384313187","57, 179, 27","1.5512037, 3.633842, 4.8577223"
173,173,"455, 317, 268","0.8270814445890965, 0.81426747134541, 0.7956168910550205","479, 76, 268","0.36176684, 3.1263075, 3.177978"
174,174,"232, 331, 45","0.7187783455473179, 0.709681689355416, 0.6829352093449254","331, 232, 284","0.09475197, 1.9301822, 7.372098"
175,175,"139, 440, 154","0.8094378061279125, 0.8076003627970773, 0.7791798761165012","287, 121, 103","1.7724435, 2.3938723, 2.8925734"
176,176,"1, 350, 412","0.7985226992163117, 0.7368660815052406, 0.7257908247772142","1, 350, 4","0.04037518, 0.2587777, 12.599686"
177,177,"292, 279, 373","0.70340070749804, 0.6574650324952785, 0.6390602115796646","292, 29, 393","0.16713753, 2.0515277, 6.3924317"
178,178,"18, 322, 96","0.8400305599649275, 0.815035113549425, 0.8041453709047658","184, 465, 118","0.613172, 1.7337643, 4.3444853"
179,179,"249, 496, 377","0.8595070665062182, 0.8578179489084958, 0.8537866270066121","220, 57, 496","1.1848803, 1.652771, 1.823105"
180,180,"61, 333, 478","0.7742145080455399, 0.7733335373600576, 0.7417046136657446","61, 256, 282","1.009348, 2.2049375, 5.34317"
181,181,"279, 173, 230","0.7617420607967426, 0.7330056294021635, 0.7327817939596757","413, 95, 267","4.074931, 4.163369, 4.4626484"
182,182,"386, 422, 277","0.7535421989572451, 0.7521268832174428, 0.7422467679404904","425, 36, 199","2.939948, 3.518046, 3.7571383"
183,183,"82, 319, 120","0.683674508454261, 0.6131443096294019, 0.5880716360866842","409, 368, 120","2.5280752, 2.8003285, 3.0485532"
184,184,"118, 322, 178","0.7950355272496678, 0.7457715059893567, 0.7010681610905044","178, 465, 13","0.613172, 3.2808595, 3.4344206"
185,185,"22, 261, 38","0.7021192128113264, 0.6899777937415088, 0.6279830160458124","461, 142, 407","5.3310556, 8.011339, 8.55704"
186,186,"313, 132, 492","0.8979239160691836, 0.769236074297739, 0.7691568169424642","313, 199, 20","0.029089727, 0.8569789, 0.90431154"
187,187,"315, 155, 128","0.7591954478267756, 0.7511935110097119, 0.7501726085079339","155, 409, 468","0.5731654, 3.0539834, 4.551927"
188,188,"249, 458, 189","0.8768572666663318, 0.8746072611579077, 0.8704073672067939","189, 142, 223","1.18938, 1.909651, 2.8987067"
189,189,"249, 496, 364","0.9143390225813004, 0.8970590226452708, 0.8876246642811351","249, 188, 364","1.0444025, 1.18938, 1.5316448"
190,190,"54, 351, 155","0.774391707835983, 0.7667048061998678, 0.7497835583343683","351, 157, 17","0.3995887, 1.8336498, 2.0485969"
191,191,"215, 39, 295","0.801682755670875, 0.7946819067007106, 0.7714814610912779","215, 337, 78","0.6857082, 1.977968, 2.7677824"
192,192,"294, 342, 263","0.7053103537286628, 0.688339407659613, 0.5631024922144838","222, 464, 394","0.020184107, 10.833726, 11.280455"
193,193,"131, 493, 8","0.7418999557529106, 0.7325514964054555, 0.722010046399409","8, 297, 131","0.6746949, 1.5629914, 2.0282335"
194,194,"243, 27, 117","0.7686474964276041, 0.7398737504242944, 0.7343122074240602","243, 117, 346","0.31429213, 2.8076997, 4.513948"
195,195,"104, 167, 42","0.9342453507520369, 0.9219198043307629, 0.9185110840851182","415, 104, 164","1.1735542, 1.4426676, 1.4777324"
196,196,"280, 420, 397","0.7485652274297087, 0.7295902972185094, 0.7285112550772193","291, 443, 397","1.2573144, 1.2599027, 2.8627472"
197,197,"145, 72, 213","0.7394918388479824, 0.7289888544327344, 0.6960243510757724","72, 251, 270","0.6168768, 3.9629736, 5.0053473"
198,198,"79, 84, 335","0.7202627567640352, 0.6955183279989408, 0.6909624035553545","335, 31, 69","0.59583646, 5.4140015, 6.9127436"
