,index,high_nei,high_sim,low_nei,low_sim
14,14,"23, 36, 82","0.5801425411754897, 0.5142922437330444, 0.4884835785577606","36, 96, 22","0.006576398, 0.24632466, 0.32753935"
15,15,"44, 75, 77","0.2997823324116378, 0.2429765677114369, 0.21906053263084","44, 97, 98","0.051028606, 0.09996184, 0.1732088"
16,16,"88, 99, 12","0.2636609869958886, 0.2530111686428786, 0.2509887642576009","12, 0, 95","0.09271443, 0.11568649, 0.116026774"
17,17,"77, 50, 73","0.3183311900866838, 0.30329314673270863, 0.29621912726226324","69, 37, 10","0.058159754, 0.10679138, 0.20542996"
18,18,"76, 47, 72","0.2904338732218846, 0.2842945604318203, 0.28133098752990987","56, 28, 75","0.2561716, 0.2677249, 0.28820592"
19,19,"50, 73, 42","0.3148552107261127, 0.2654129368238017, 0.2573339099817278","60, 83, 37","0.039179135, 0.14643338, 0.15587035"
20,20,"23, 47, 14","0.5931149103236742, 0.4210048621936846, 0.4147357235238813","68, 43, 47","0.024409074, 0.082821324, 0.11504882"
21,21,"72, 88, 50","0.301982405277243, 0.2551254082697667, 0.24259499892856198","67, 2, 91","0.03353031, 0.18624267, 0.2639096"
22,22,"80, 46, 64","0.23998342091487812, 0.23824228208419726, 0.23616817803641021","78, 84, 30","0.0320361, 0.10268815, 0.16857427"
23,23,"20, 14, 47","0.5931149103236742, 0.5801425411754897, 0.4923222279087824","9, 5, 20","0.09016983, 0.11794574, 0.18628612"
24,24,"25, 45, 30","0.3795710076537462, 0.3570509712076726, 0.3538454849420342","80, 79, 11","0.020119788, 0.09082152, 0.14614612"
25,25,"45, 96, 14","0.44303718385308827, 0.44062794131513044, 0.4371660426599182","61, 7, 45","0.09024147, 0.10581689, 0.17492321"
26,26,"86, 44, 7","0.26041477312174593, 0.24837746424134646, 0.24784063835737344","38, 53, 93","0.066371195, 0.15214586, 0.15793155"
27,27,"36, 42, 41","0.295363990439659, 0.28713200313816184, 0.28132082700362854","82, 4, 28","0.2614326, 0.36506343, 0.40169686"
28,28,"72, 82, 18","0.25974635003428465, 0.2540881425445929, 0.2227850667549064","4, 18, 75","0.19308957, 0.2677249, 0.3033935"
29,29,"45, 72, 61","0.257579470024357, 0.25308924876779054, 0.22741048434768077","90, 74, 48","0.013283166, 0.105986774, 0.16073073"
30,30,"24, 68, 72","0.3538454849420342, 0.3028744576721793, 0.29385867923461007","78, 84, 72","0.07130119, 0.11873669, 0.15731378"
31,31,"50, 82, 95","0.2556949034658504, 0.25248902129137224, 0.22176190479976274","73, 87, 85","0.039635945, 0.086622044, 0.098101154"
32,32,"85, 76, 50","0.22936695192226744, 0.22609495204521535, 0.22549031500191022","35, 51, 59","0.08288546, 0.106959894, 0.27323657"
33,33,"50, 1, 19","0.2844329612501947, 0.26589632630387133, 0.24722213664220086","70, 50, 66","0.030356038, 0.045836378, 0.06339966"
34,34,"36, 25, 91","0.28407118147277316, 0.28315545409733883, 0.2645889309680183","71, 40, 54","0.046292387, 0.07076508, 0.07873812"
35,35,"88, 74, 90","0.34806780364735773, 0.2662935533308662, 0.26386433306875295","51, 59, 32","0.05252786, 0.059187282, 0.08288546"
36,36,"14, 96, 25","0.5142922437330444, 0.4578074273945827, 0.38433147186766053","14, 96, 22","0.006576398, 0.26794153, 0.2698473"
37,37,"31, 72, 64","0.21594059881730623, 0.21525740344858688, 0.21375728075668532","17, 19, 69","0.10679138, 0.15587035, 0.3209297"
38,38,"55, 25, 73","0.26695653768804456, 0.26081446155088, 0.24257728135802883","93, 26, 88","0.01989013, 0.066371195, 0.14758408"
39,39,"49, 42, 15","0.2469207620458844, 0.20383730858841975, 0.20170178150506304","58, 71, 6","0.08675079, 0.13742717, 0.1942164"
40,40,"14, 23, 45","0.40532687642833437, 0.3664440273347564, 0.30830704302973505","71, 54, 58","0.02926141, 0.041492883, 0.044760365"
41,41,"86, 50, 75","0.3430042994475571, 0.3012256094366041, 0.28542627586760827","52, 65, 8","0.013116768, 0.182769, 0.21455014"
42,42,"50, 73, 82","0.3356885785278081, 0.3276578886126666, 0.3044483130513193","92, 97, 98","0.16618013, 0.20350167, 0.23295096"
43,43,"68, 29, 99","0.24534220082429067, 0.2073554531770397, 0.18902044828784928","47, 68, 20","0.0054940404, 0.019900959, 0.082821324"
44,44,"15, 69, 75","0.2997823324116378, 0.2823371874774015, 0.2723010491262918","97, 98, 15","0.025854666, 0.03620973, 0.051028606"
45,45,"25, 50, 72","0.44303718385308827, 0.3857724196706922, 0.37842061432115387","62, 25, 79","0.08174063, 0.17492321, 0.19858234"
46,46,"58, 47, 22","0.2530210571237453, 0.2525616030232983, 0.23824228208419726","63, 13, 65","0.03964738, 0.047158327, 0.079792015"
47,47,"23, 20, 72","0.4923222279087824, 0.4210048621936846, 0.3814567672113312","43, 68, 5","0.0054940404, 0.042338826, 0.07441595"
48,48,"10, 4, 52","0.22830832847044627, 0.22267280535974163, 0.22246624584819752","3, 74, 90","0.035996802, 0.087790094, 0.10784036"
49,49,"39, 57, 58","0.2469207620458844, 0.2198987296884193, 0.219163382360678","8, 70, 60","0.12241398, 0.12537229, 0.13082594"
50,50,"23, 14, 73","0.41723129660003483, 0.3990525705691437, 0.3897655303962276","66, 33, 81","0.015733099, 0.045836378, 0.060535062"
51,51,"88, 90, 50","0.346517014599375, 0.32821171356347545, 0.3162819155724666","35, 93, 59","0.05252786, 0.076490894, 0.09599475"
52,52,"10, 48, 36","0.22760005678082554, 0.22246624584819752, 0.2217364663654862","41, 66, 8","0.013116768, 0.12668434, 0.17569032"
53,53,"26, 92, 75","0.2026594385517855, 0.18866574034706426, 0.18778326012023197","92, 97, 26","0.010342006, 0.13234553, 0.15214586"
54,54,"34, 24, 80","0.26431616968208044, 0.2135739349782649, 0.2100972592709254","40, 55, 34","0.041492883, 0.051690668, 0.07873812"
55,55,"91, 38, 74","0.3013934368632502, 0.26695653768804456, 0.2571706775626297","54, 1, 34","0.051690668, 0.12946042, 0.14342867"
56,56,"0, 18, 10","0.2200459654150714, 0.20691695582008293, 0.1986732572333739","95, 12, 63","0.078068174, 0.1268043, 0.17449921"
57,57,"49, 86, 41","0.2198987296884193, 0.2149764336293769, 0.181014654409788","86, 87, 73","0.059459303, 0.13409245, 0.1767824"
58,58,"45, 12, 25","0.2956263815304731, 0.2844505657596846, 0.281647303920702","71, 40, 34","0.005873504, 0.044760365, 0.08356458"
59,59,"88, 65, 50","0.28738584585793114, 0.2737260478119479, 0.22852710354137895","88, 35, 51","0.0030472453, 0.059187282, 0.09599475"
60,60,"20, 23, 50","0.22274895187035196, 0.21419115091402816, 0.21227192755435761","19, 49, 83","0.039179135, 0.13082594, 0.13643302"
61,61,"36, 7, 68","0.283961710554329, 0.24282567048079132, 0.22748737899790908","7, 1, 25","0.06142245, 0.06934031, 0.09024147"
62,62,"91, 79, 45","0.28964384128226434, 0.2748492083217588, 0.27281008988812855","45, 91, 84","0.08174063, 0.107206196, 0.1115691"
63,63,"14, 23, 82","0.3464130796844107, 0.32426618851067074, 0.27692104074648705","46, 81, 13","0.03964738, 0.12794578, 0.17273174"
64,64,"99, 72, 5","0.31529899326106486, 0.2984362040738818, 0.2962417692845189","99, 72, 21","0.11016901, 0.14964315, 0.32048908"
65,65,"59, 95, 36","0.2737260478119479, 0.23453017450506766, 0.22598368610719086","76, 13, 46","0.03667713, 0.051488396, 0.079792015"
66,66,"83, 82, 7","0.2709544994623996, 0.2622154389806827, 0.25544170718991926","50, 33, 81","0.015733099, 0.06339966, 0.108617485"
67,67,"68, 0, 21","0.2224548510506595, 0.18763139058717926, 0.18635842249830356","21, 2, 0","0.03353031, 0.1560975, 0.16239002"
68,68,"14, 30, 71","0.3066819519647009, 0.3028744576721793, 0.29410526240016616","43, 20, 47","0.019900959, 0.024409074, 0.042338826"
69,69,"42, 44, 73","0.29665887061032165, 0.2823371874774015, 0.2626955299717356","17, 98, 10","0.058159754, 0.16643873, 0.21428588"
70,70,"72, 25, 50","0.2543832568649002, 0.23436166730490313, 0.2336269081839668","33, 49, 50","0.030356038, 0.12537229, 0.1273051"
71,71,"68, 14, 36","0.29410526240016616, 0.25551524433231976, 0.23669995679534683","58, 40, 34","0.005873504, 0.02926141, 0.046292387"
72,72,"23, 91, 12","0.4220780900008852, 0.4137234881171145, 0.3962760704971882","64, 30, 99","0.14964315, 0.15731378, 0.21998067"
73,73,"50, 42, 82","0.3897655303962276, 0.3276578886126666, 0.317005608946397","31, 87, 10","0.039635945, 0.067449555, 0.14697315"
74,74,"82, 88, 50","0.28143099244282666, 0.2795173514324886, 0.2793017601287545","90, 48, 29","0.044296727, 0.087790094, 0.105986774"
75,75,"25, 98, 77","0.3604617631989853, 0.3190464594593461, 0.29259516584485246","77, 89, 81","0.05552135, 0.24969742, 0.28655592"
76,76,"18, 82, 23","0.2904338732218846, 0.2627184566480592, 0.2619221932010148","94, 65, 13","0.025463823, 0.03667713, 0.08786999"
77,77,"17, 75, 98","0.3183311900866838, 0.29259516584485246, 0.28799625822989167","75, 81, 89","0.05552135, 0.090466835, 0.18251337"
78,78,"68, 6, 84","0.22311078991598407, 0.20706733210830322, 0.19820478257378804","84, 22, 30","0.031791583, 0.0320361, 0.07130119"
79,79,"25, 92, 45","0.32877710603568433, 0.30245437240251366, 0.2769848912574084","24, 80, 45","0.09082152, 0.110943615, 0.19858234"
80,80,"14, 25, 82","0.38424833375862927, 0.36752470318557845, 0.32027633151043383","24, 11, 79","0.020119788, 0.0726856, 0.110943615"
81,81,"98, 75, 25","0.2632833513000183, 0.22994881062522501, 0.22350583450460015","50, 77, 66","0.060535062, 0.090466835, 0.108617485"
82,82,"14, 96, 23","0.4884835785577606, 0.4770576157752518, 0.4156265265450773","27, 28, 6","0.2614326, 0.58879197, 0.6855626"
83,83,"23, 9, 82","0.3209374527001668, 0.28731985317316694, 0.28593392066619766","85, 60, 19","0.10490134, 0.13643302, 0.14643338"
84,84,"72, 50, 80","0.32072693458416895, 0.3073905616678205, 0.29881433354286097","78, 22, 91","0.031791583, 0.10268815, 0.1029265"
85,85,"86, 80, 50","0.2910930469581727, 0.28093484421419695, 0.2803131415520765","89, 31, 83","0.04058452, 0.098101154, 0.10490134"
86,86,"41, 50, 12","0.3430042994475571, 0.33589962550402613, 0.3174007554393499","57, 73, 42","0.059459303, 0.28015733, 0.30713302"
87,87,"86, 41, 84","0.2662661599575999, 0.21599763839020839, 0.21320019223154393","73, 31, 57","0.067449555, 0.086622044, 0.13409245"
88,88,"35, 51, 50","0.34806780364735773, 0.346517014599375, 0.34238580710487265","59, 35, 93","0.0030472453, 0.0839822, 0.09266302"
89,89,"4, 85, 73","0.2551796823358552, 0.2335799466302587, 0.2233780438019264","85, 70, 31","0.04058452, 0.13154605, 0.16942348"
90,90,"51, 50, 64","0.32821171356347545, 0.2989686654600517, 0.28732107630046383","29, 74, 48","0.013283166, 0.044296727, 0.10784036"
91,91,"72, 82, 55","0.4137234881171145, 0.3259733596302657, 0.3013934368632502","84, 62, 78","0.1029265, 0.107206196, 0.23631747"
92,92,"79, 24, 98","0.30245437240251366, 0.2737793960536388, 0.2601515641556574","53, 88, 97","0.010342006, 0.14444458, 0.14948833"
93,93,"90, 64, 26","0.1997980591487578, 0.16491179993023444, 0.16075281865172572","38, 51, 88","0.01989013, 0.076490894, 0.09266302"
94,94,"65, 82, 20","0.22587694669212607, 0.20447432764606102, 0.196106553133401","76, 65, 13","0.025463823, 0.09961202, 0.20786615"
95,95,"36, 2, 82","0.2688977044795079, 0.2658568805605757, 0.2435263077133422","12, 56, 16","0.010115146, 0.078068174, 0.116026774"
96,96,"82, 36, 25","0.4770576157752518, 0.4578074273945827, 0.44062794131513044","11, 80, 22","0.06482365, 0.20746797, 0.24467841"
97,97,"77, 98, 38","0.24435565490274633, 0.24367580318416948, 0.24184681012529466","44, 98, 15","0.025854666, 0.042678922, 0.09996184"
98,98,"75, 77, 81","0.3190464594593461, 0.28799625822989167, 0.2632833513000183","44, 97, 69","0.03620973, 0.042678922, 0.16643873"
99,99,"64, 20, 72","0.31529899326106486, 0.2700677548969812, 0.26302753450195276","64, 9, 72","0.11016901, 0.16819164, 0.21998067"
