,index,high_nei,high_sim,low_nei,low_sim
51,51,"82, 52, 59","0.7024891966790182, 0.6607197457801318, 0.6492724659414633","52, 0, 82","0.09956363, 0.549893, 0.929537"
52,52,"51, 0, 48","0.6607197457801318, 0.6130283341592963, 0.5886151418605092","51, 0, 82","0.09956363, 0.3554315, 1.4915533"
53,53,"77, 27, 42","0.7095011168718973, 0.7023621929589415, 0.6888045720115044","67, 50, 94","0.39461538, 0.4163077, 0.5568537"
54,54,"48, 56, 59","0.7389330337053062, 0.7174789435486354, 0.7136925721918581","59, 98, 73","0.3184102, 0.39222658, 0.7565826"
55,55,"11, 16, 68","0.9393325716131693, 0.896123011406608, 0.8855696735960812","11, 16, 57","0.0051746788, 0.07277787, 0.07296951"
56,56,"54, 9, 97","0.7174789435486354, 0.7088350978217093, 0.6828871428551151","17, 30, 54","0.50839794, 0.66560274, 0.77896136"
57,57,"11, 99, 55","0.86085697434412, 0.8589834749106308, 0.8581910189740275","11, 16, 55","0.04077491, 0.056215145, 0.07296951"
58,58,"20, 45, 56","0.6722107509021615, 0.6537247972363627, 0.639034329412045","45, 91, 74","0.023994306, 1.0735694, 1.1318271"
59,59,"48, 54, 51","0.7232633723629842, 0.7136925721918581, 0.6492724659414633","98, 54, 48","0.1731479, 0.3184102, 0.32547754"
60,60,"24, 95, 91","0.6116617274341497, 0.61092606497003, 0.5946180985955267","23, 93, 14","0.78781915, 1.2981689, 1.8359772"
61,61,"25, 7, 9","0.7345241700398171, 0.6980654956948299, 0.681419665184502","40, 6, 7","0.17403984, 0.21091864, 0.37996936"
62,62,"44, 16, 11","0.7934652992663355, 0.7818511441272765, 0.7642063634217653","74, 44, 16","0.11649185, 0.20399599, 0.5783228"
63,63,"86, 98, 10","0.5917624766942632, 0.5203087967623684, 0.5175550596751151","0, 52, 51","1.9369128, 1.9479865, 2.9278646"
64,64,"35, 12, 85","0.578403890538018, 0.5697519213262074, 0.5605964927352289","85, 93, 32","1.5376887, 1.9483979, 3.765625"
65,65,"66, 55, 16","0.729820927729466, 0.6838826836543525, 0.6733134046465862","66, 15, 97","0.41012308, 0.79792637, 1.1930175"
66,66,"65, 46, 9","0.729820927729466, 0.7159622877662712, 0.7136949786142956","5, 65, 46","0.3145101, 0.41012308, 0.4455697"
67,67,"96, 18, 44","0.6734390690209898, 0.6688307860147782, 0.641680546701053","32, 53, 94","0.37103283, 0.39461538, 0.85393184"
68,68,"99, 55, 15","0.9026203754272267, 0.8855696735960812, 0.8852451685577282","99, 9, 97","0.013141453, 0.0933271, 0.1703333"
69,69,"65, 31, 84","0.6224821030421162, 0.6216015739710031, 0.6183061125697764","31, 79, 84","0.0033225378, 0.5463521, 0.9143563"
70,70,"8, 75, 49","0.6633355671834031, 0.6481175449287105, 0.6231857728865542","49, 75, 80","0.25467953, 0.41195455, 0.41266647"
71,71,"4, 40, 7","0.7266570420118084, 0.7087160207250994, 0.6929433604588573","7, 4, 36","0.17787185, 0.3116396, 0.671906"
72,72,"19, 4, 1","0.6956884384925334, 0.6277721790461595, 0.6185095061242568","19, 1, 29","7.719199e-05, 4.400846, 4.559154"
73,73,"3, 54, 12","0.6876703555279116, 0.6456465652381258, 0.6322930949328877","3, 54, 59","0.26262817, 0.7565826, 1.6625683"
74,74,"39, 45, 68","0.7579165058149459, 0.7383962368888304, 0.7321109027599365","62, 44, 58","0.11649185, 0.49151647, 1.1318271"
75,75,"70, 8, 49","0.6481175449287105, 0.6041427120740874, 0.5968968645066948","80, 70, 49","0.042454906, 0.41195455, 1.3048536"
76,76,"44, 18, 33","0.767388269010114, 0.7475267933659845, 0.7131604260826461","44, 81, 62","0.30240893, 0.5582974, 0.91409403"
77,77,"42, 16, 11","0.9044971959463527, 0.7263727921812203, 0.7137899558482433","42, 50, 53","0.0018816553, 0.74734354, 0.9191407"
78,78,"45, 2, 9","0.7508874257361281, 0.7489715627325281, 0.743376444187936","91, 86, 20","0.8783713, 1.5566669, 1.621876"
79,79,"84, 21, 31","0.6610630415550912, 0.6463476483747359, 0.6156144392250634","84, 31, 69","0.2548083, 0.5278804, 0.5463521"
80,80,"3, 70, 75","0.5692667417266816, 0.5616310264469017, 0.5590546374717797","75, 70, 49","0.042454906, 0.41266647, 1.3084469"
81,81,"76, 46, 25","0.6742265955970862, 0.6570898611396034, 0.656929603727656","76, 66, 5","0.5582974, 0.61754453, 0.6785449"
82,82,"51, 48, 41","0.7024891966790182, 0.6731783032222454, 0.6375402211643857","51, 41, 0","0.929537, 1.089313, 1.4393797"
83,83,"98, 59, 54","0.6664494131744059, 0.6427949957900336, 0.635300206204496","26, 98, 59","0.22231394, 1.0937178, 1.5941068"
84,84,"79, 31, 69","0.6610630415550912, 0.6417369514949792, 0.6183061125697764","79, 31, 69","0.2548083, 0.8380203, 0.9143563"
85,85,"32, 89, 23","0.6424957423514837, 0.6289426473988305, 0.6282863464316287","32, 35, 89","0.4928135, 0.9775791, 1.4033942"
86,86,"10, 78, 90","0.7113927027572642, 0.6900916034281585, 0.6885279374148047","2, 90, 39","0.94844306, 1.0524844, 1.4475393"
87,87,"84, 21, 79","0.5232606175581386, 0.4990537104476832, 0.4650669306002509","60, 93, 37","3.2961273, 4.0734425, 4.375114"
88,88,"17, 96, 56","0.6060932462039351, 0.5832524534193112, 0.5806409556995601","30, 56, 17","0.25029552, 0.8758892, 0.9935462"
89,89,"23, 94, 93","0.6926612557417097, 0.6824991713738634, 0.6607124953231674","94, 23, 93","0.6036893, 0.7341173, 0.94858336"
90,90,"43, 39, 10","0.7669376657227492, 0.7517235378971411, 0.7116936625884916","43, 10, 39","0.17271881, 0.49640268, 0.56507504"
91,91,"33, 78, 2","0.7783016527997716, 0.7254483110226688, 0.722210118553584","33, 20, 78","0.15056849, 0.2575547, 0.8783713"
92,92,"41, 21, 6","0.6048017404024087, 0.597555655904148, 0.5960546562079284","21, 47, 34","0.47907358, 1.2715263, 1.8749517"
93,93,"23, 89, 14","0.6958797623474531, 0.6607124953231674, 0.6344172119482802","23, 89, 60","0.64733255, 0.94858336, 1.2981689"
94,94,"18, 44, 76","0.7509205018766032, 0.7196298334145511, 0.7062170083321334","53, 89, 50","0.5568537, 0.6036893, 0.66586626"
95,95,"33, 76, 91","0.739121844807544, 0.701728027070821, 0.6948939708835038","46, 5, 36","0.33449775, 0.3588584, 0.71178305"
96,96,"18, 44, 20","0.8211830296204098, 0.7483085039976812, 0.7220951752202962","18, 27, 14","0.016439717, 0.88392305, 1.2969882"
97,97,"15, 68, 99","0.892358750184669, 0.8851345047484177, 0.8798128063804684","15, 99, 68","0.066424385, 0.10733413, 0.1703333"
98,98,"83, 54, 3","0.6664494131744059, 0.6419420886638109, 0.64107155038519","59, 54, 48","0.1731479, 0.39222658, 0.9484479"
99,99,"68, 15, 97","0.9026203754272267, 0.885117098494095, 0.8798128063804684","68, 97, 9","0.013141453, 0.10733413, 0.12398173"
