,index,high_nei,high_sim,low_nei,low_sim
47,47,"278, 91, 349","0.6796461959510828, 0.614641805070646, 0.6031842516959492","403, 16, 188","0.05715257, 0.1688861, 0.1999587"
48,48,"54, 59, 332","0.7389330337053062, 0.7232633723629842, 0.6838380504309904","59, 406, 498","0.00081287994, 0.06610791, 0.0834982"
49,49,"493, 320, 457","0.7699648317305444, 0.7394127680296716, 0.73220978457017","320, 457, 241","0.009630295, 0.039731026, 0.10289179"
50,50,"134, 240, 126","0.7435378670122937, 0.7242704567657781, 0.7191700203543666","416, 286, 7","0.15213062, 0.26052722, 0.27449837"
51,51,"365, 82, 120","0.7319227482260687, 0.7024891966790182, 0.7017277714688207","288, 463, 82","0.00588339, 0.009706153, 0.012008776"
52,52,"265, 498, 51","0.716227858576693, 0.6651817717810928, 0.6607197457801318","332, 168, 0","0.029984571, 0.041394774, 0.047183435"
53,53,"293, 328, 321","0.7482737198745696, 0.7246869469425246, 0.7241372486021594","461, 171, 407","0.035678145, 0.12969057, 0.14710268"
54,54,"190, 319, 429","0.774391707835983, 0.7689193181464683, 0.7657173312993176","368, 157, 319","0.0051755067, 0.0139401285, 0.036319602"
55,55,"11, 153, 234","0.9393325716131693, 0.9248528534688865, 0.918858056525291","11, 377, 153","0.0074415114, 0.009240232, 0.013497718"
56,56,"146, 330, 210","0.8549725228263293, 0.8185656901514858, 0.7526147126393212","146, 210, 429","0.0005960322, 0.008159522, 0.017225603"
57,57,"377, 220, 339","0.8793763270232784, 0.8700306687655193, 0.8646510159038125","220, 179, 34","0.001042479, 0.0033536511, 0.011821476"
58,58,"314, 275, 20","0.6784978096929593, 0.672679815554763, 0.6722107509021615","45, 334, 290","0.09365475, 0.11285932, 0.16718958"
59,59,"250, 226, 48","0.7696158041748581, 0.7435773634242183, 0.7232633723629842","48, 406, 498","0.00081287994, 0.06483854, 0.072083615"
60,60,"292, 393, 279","0.664462174745681, 0.6606817066827524, 0.6507784868233176","393, 177, 292","0.0017111565, 0.005343249, 0.017890546"
61,61,"256, 378, 180","0.8830695901229245, 0.8244446109866329, 0.7742145080455399","256, 180, 431","0.02597901, 0.026559416, 0.02999483"
62,62,"44, 16, 220","0.7934652992663355, 0.7818511441272765, 0.7783635586690485","74, 44, 162","0.0017841393, 0.004754996, 0.012439523"
63,63,"137, 334, 86","0.6201972558646377, 0.5974935629488076, 0.5917624766942632","137, 477, 209","0.014784563, 0.08423773, 0.11428065"
64,64,"438, 376, 443","0.6479561679272052, 0.6355025932563267, 0.6103921601077545","93, 448, 252","0.018045515, 0.03806051, 0.07426364"
65,65,"66, 390, 402","0.729820927729466, 0.7232404066996333, 0.6956309573480038","87, 390, 21","0.016210947, 0.208804, 0.22077638"
66,66,"140, 478, 316","0.7548945367761387, 0.74518817347676, 0.7339424608188917","149, 140, 235","0.009107603, 0.02567933, 0.063210696"
67,67,"272, 124, 151","0.7461605812730036, 0.7192158813758434, 0.7071105368202293","200, 420, 397","0.030223915, 0.051893394, 0.075977564"
68,68,"161, 99, 112","0.9028706829466804, 0.9026203754272267, 0.8992259621097103","339, 161, 9","0.00033469108, 0.007096711, 0.015416425"
69,69,"390, 227, 468","0.6673378052325927, 0.6626539598641843, 0.6532781004598754","31, 468, 324","0.0003139586, 0.009447325, 0.019361235"
70,70,"457, 372, 493","0.7372931461266123, 0.7197195079405188, 0.7124808632007559","241, 417, 457","0.0110023515, 0.01669684, 0.041341975"
71,71,"410, 238, 270","0.7739119473252255, 0.7501726220501038, 0.7436770749528429","40, 395, 388","0.0067453273, 0.047961332, 0.05359122"
72,72,"145, 197, 395","0.7514033809351311, 0.7289888544327344, 0.6990559888913752","385, 298, 251","0.0076438067, 0.021200463, 0.03176096"
73,73,"487, 110, 3","0.6994030966335819, 0.6888120222462109, 0.6876703555279116","371, 487, 3","0.006192598, 0.02285371, 0.027682215"
74,74,"115, 314, 39","0.8292340011482698, 0.7581568893541984, 0.7579165058149459","44, 62, 162","0.0007139056, 0.0017841393, 0.0055529154"
75,75,"493, 131, 457","0.7423216740235762, 0.693983050960754, 0.6836801656460724","394, 229, 135","0.0035645096, 0.0046807844, 0.0053775557"
76,76,"355, 152, 349","0.809652832732218, 0.7714209659461524, 0.7691824947134228","278, 439, 143","0.00010669986, 0.009698628, 0.012939645"
77,77,"426, 42, 104","0.9174684490885258, 0.9044971959463527, 0.9004684321877683","42, 472, 426","0.023878496, 0.02866162, 0.029104449"
78,78,"215, 391, 115","0.7759271516830333, 0.7595563036792056, 0.7553491544467532","466, 191, 495","0.00197186, 0.005930367, 0.012983387"
79,79,"253, 335, 361","0.76726821795328, 0.7608333457692419, 0.7346405734145731","198, 84, 335","0.0041664196, 0.007864082, 0.023914747"
80,80,"229, 208, 237","0.7466631646311825, 0.7138460295183329, 0.6578582547307461","445, 369, 237","0.0006962953, 0.013215128, 0.040001046"
81,81,"267, 107, 375","0.7140470345055684, 0.7103489460065562, 0.6916318907848831","107, 400, 336","0.0024814033, 0.0065441784, 0.014041738"
82,82,"51, 183, 48","0.7024891966790182, 0.683674508454261, 0.6731783032222454","51, 463, 288","0.012008776, 0.027921211, 0.030308396"
83,83,"128, 474, 119","0.7296214051862889, 0.7264803183466325, 0.7228077184839915","129, 110, 381","0.0039693024, 0.0073885852, 0.01302325"
84,84,"198, 79, 31","0.6955183279989408, 0.6610630415550912, 0.6417369514949792","79, 198, 361","0.007864082, 0.022760024, 0.023261126"
85,85,"438, 171, 217","0.6949820589678518, 0.685039212933859, 0.6607364162198827","347, 171, 32","0.007197323, 0.029523868, 0.06814593"
86,86,"10, 480, 154","0.7113927027572642, 0.708453205755624, 0.7075160709801891","311, 476, 96","0.01935598, 0.08381697, 0.12138057"
87,87,"84, 213, 430","0.5232606175581386, 0.5181922044306277, 0.5125496819323436","65, 390, 21","0.016210947, 0.1094983, 0.12060347"
88,88,"207, 442, 310","0.7236314320509711, 0.676868005697499, 0.6500059669996706","228, 304, 207","0.0043693706, 0.023223361, 0.03207244"
89,89,"363, 23, 94","0.7009216387852103, 0.6926612557417097, 0.6824991713738634","35, 130, 64","0.04049908, 0.08581627, 0.09859371"
90,90,"494, 380, 139","0.8791418628835117, 0.8364333612695197, 0.8251622712153269","338, 380, 245","0.0105990525, 0.017689653, 0.026897153"
91,91,"435, 33, 199","0.7985826380460651, 0.7783016527997716, 0.7728224155824536","33, 215, 191","0.005152827, 0.013123104, 0.02441102"
92,92,"116, 263, 388","0.6705996657210773, 0.6238676705690371, 0.6224407718799476","324, 468, 231","0.0093062995, 0.01986798, 0.02760273"
93,93,"23, 89, 144","0.6958797623474531, 0.6607124953231674, 0.6509061753487345","448, 64, 252","0.014513732, 0.018045515, 0.046607554"
94,94,"441, 363, 252","0.8023482673663759, 0.7617494000523551, 0.7546714720334595","352, 438, 363","0.011462401, 0.016395302, 0.018314213"
95,95,"355, 495, 170","0.7968420176412804, 0.7749596017423956, 0.7572193688240455","170, 276, 400","0.005968761, 0.051458336, 0.073367715"
96,96,"272, 18, 178","0.8345156854060356, 0.8211830296204098, 0.8041453709047658","272, 311, 152","0.008560007, 0.04458397, 0.062604606"
97,97,"138, 15, 482","0.9094126618579497, 0.892358750184669, 0.891579431444214","255, 242, 475","0.0005795988, 0.0018166327, 0.0023238244"
98,98,"226, 474, 110","0.698355912650266, 0.6928456972809156, 0.6905077286775055","250, 414, 359","0.020982487, 0.027067015, 0.03706164"
99,99,"112, 161, 68","0.9085628742141747, 0.9032562211062315, 0.9026203754272267","475, 242, 97","0.01040069, 0.012563225, 0.021474646"
100,100,"298, 19, 72","0.7479620387611643, 0.7009053945608993, 0.6848235854122419","19, 298, 427","0.0006348246, 0.002014647, 0.013171862"
101,101,"384, 243, 194","0.6848579474433822, 0.6835896154339816, 0.6607126751539625","489, 384, 122","0.0063772323, 0.010515388, 0.015438072"
102,102,"150, 322, 121","0.8372462175628448, 0.8292585089367902, 0.8128201854662356","467, 244, 366","0.017390197, 0.034095705, 0.07863566"
103,103,"317, 96, 272","0.8064325702290953, 0.7784265058769682, 0.7759420415105577","287, 366, 245","0.0050485693, 0.015317473, 0.02557752"
104,104,"195, 42, 77","0.9342453507520369, 0.9108951754388427, 0.9004684321877683","195, 42, 415","0.0021611839, 0.01006462, 0.022696353"
105,105,"198, 69, 390","0.6384900661630047, 0.6334792712678465, 0.6269270551658499","198, 79, 335","0.011107439, 0.027382027, 0.04423869"
106,106,"170, 404, 160","0.6789535049395388, 0.6534056931509659, 0.6533373170056337","24, 374, 236","0.0032119297, 0.019121494, 0.024223642"
107,107,"375, 400, 267","0.8088909873219035, 0.7721988242522642, 0.7680916636128329","81, 336, 400","0.0024814033, 0.00944942, 0.010429549"
108,108,"405, 7, 414","0.827107805685196, 0.743330416107691, 0.7204343965151826","263, 7, 238","0.026457394, 0.036105555, 0.057474278"
109,109,"206, 357, 182","0.7421256272276529, 0.7418934221262301, 0.734383914502773","221, 206, 224","0.0011933874, 0.0014196481, 0.005455987"
110,110,"128, 474, 238","0.7787589876128165, 0.7723437052168942, 0.7555871463216308","129, 119, 83","0.000748968, 0.0009224827, 0.0073885852"
111,111,"490, 469, 252","0.7829928139377321, 0.7647644711323842, 0.7595927866521462","469, 14, 490","0.019996626, 0.039631374, 0.04019203"
112,112,"161, 339, 99","0.935505117004335, 0.9094380956897579, 0.9085628742141747","161, 9, 339","0.0027063135, 0.010365985, 0.017120771"
113,113,"56, 146, 54","0.7463701174679226, 0.7368978358520325, 0.7277037880737597","210, 56, 146","0.017851144, 0.020357294, 0.021634756"
114,114,"328, 321, 426","0.9066043625660074, 0.8996120337088283, 0.8964943884893809","321, 426, 472","0.00039056386, 0.012624538, 0.01423003"
115,115,"74, 345, 39","0.8292340011482698, 0.7907150659277157, 0.7849608319021805","162, 44, 74","0.0035540138, 0.010386281, 0.016114084"
116,116,"163, 399, 167","0.7689664788144773, 0.7494853874296131, 0.7307139339346234","163, 361, 433","0.0017559715, 0.034725793, 0.067300096"
117,117,"243, 384, 346","0.7778937725862781, 0.7552692911628826, 0.7468643259561121","384, 325, 346","0.0063661784, 0.006571862, 0.009363365"
118,118,"184, 322, 380","0.7950355272496678, 0.7765420053109765, 0.7603272046301368","273, 465, 178","0.016382024, 0.036057103, 0.04648246"
119,119,"83, 129, 381","0.7228077184839915, 0.7078511957906342, 0.6836650603783505","110, 129, 381","0.0009224827, 0.0030831571, 0.010164406"
120,120,"125, 409, 315","0.764797243611491, 0.7335660241967273, 0.7307049879028484","125, 446, 419","0.008277463, 0.017361728, 0.051552474"
121,121,"102, 380, 90","0.8128201854662356, 0.8085789559400816, 0.8036740675737634","139, 287, 175","0.008135077, 0.0137925865, 0.021580124"
122,122,"448, 228, 384","0.6888090602970983, 0.6884811807886102, 0.6744719862539339","101, 489, 35","0.015438072, 0.029025948, 0.031035073"
123,123,"327, 160, 485","0.5684171326000921, 0.5558215281778374, 0.5557551291225741","259, 327, 369","0.0008547331, 0.013448305, 0.0723113"
124,124,"178, 216, 18","0.7925260715079948, 0.7494140078170021, 0.7332072589095173","275, 118, 13","0.0053803753, 0.059025668, 0.092781484"
125,125,"120, 446, 433","0.764797243611491, 0.7628942976357512, 0.7524774257944712","120, 419, 446","0.008277463, 0.020983528, 0.021331673"
126,126,"134, 470, 169","0.7544566524162043, 0.7384123636458807, 0.7236087205764777","169, 470, 134","0.001435466, 0.011359327, 0.086036354"
127,127,"1, 4, 303","0.8315727978430861, 0.7568057117889444, 0.7416606654731009","303, 270, 401","0.03537346, 0.03987737, 0.045710865"
128,128,"110, 187, 83","0.7787589876128165, 0.7501726085079339, 0.7296214051862889","450, 474, 379","0.05373264, 0.065436676, 0.09681601"
129,129,"359, 119, 381","0.7362711475737492, 0.7078511957906342, 0.703458970064564","110, 119, 83","0.000748968, 0.0030831571, 0.0039693024"
130,130,"201, 318, 300","0.6962976886265972, 0.6908508783407715, 0.6775888051380007","201, 300, 318","0.015926315, 0.03151743, 0.08494305"
131,131,"193, 493, 75","0.7418999557529106, 0.7260621638072953, 0.693983050960754","8, 329, 297","0.0055821734, 0.012417494, 0.019577539"
132,132,"313, 341, 345","0.8040016206059012, 0.7803731459494123, 0.7785997028234426","341, 334, 454","0.029441249, 0.030412633, 0.034314122"
133,133,"246, 403, 444","0.7364299964296636, 0.6952936998768982, 0.6855813605672246","253, 169, 246","0.058332644, 0.13410872, 0.13596328"
134,134,"240, 470, 126","0.8057704961498378, 0.7967855568039843, 0.7544566524162043","470, 126, 169","0.05095484, 0.086036354, 0.10331076"
135,135,"229, 237, 80","0.7032188935281299, 0.6500675209853772, 0.6407067534483664","229, 75, 394","0.00047390157, 0.0053775557, 0.01629481"
136,136,"375, 221, 357","0.712626485091513, 0.7036124647820687, 0.6916983755541085","20, 199, 109","0.05464236, 0.069905475, 0.07227597"
137,137,"63, 242, 21","0.6201972558646377, 0.6065266727605146, 0.5706180328435556","63, 477, 209","0.014784563, 0.032230917, 0.09659412"
138,138,"97, 165, 141","0.9094126618579497, 0.907163134756187, 0.9028799400497922","471, 312, 141","0.0017980657, 0.0018278939, 0.00667227"
139,139,"494, 244, 90","0.8552383228739243, 0.8429606161728762, 0.8251622712153269","175, 121, 287","0.003550078, 0.008135077, 0.040341992"
140,140,"66, 81, 25","0.7548945367761387, 0.6891983871708478, 0.643045026925033","149, 66, 235","0.013115288, 0.02567933, 0.13053285"
141,141,"138, 323, 15","0.9028799400497922, 0.8987241038950134, 0.8829914575139707","471, 138, 165","0.006642447, 0.00667227, 0.011841819"
142,142,"164, 167, 188","0.8887482252104195, 0.8877935619802779, 0.8588550690824904","387, 223, 167","0.0048480392, 0.009073363, 0.010596706"
143,143,"254, 435, 2","0.7900269728734958, 0.7878996798929133, 0.7820020898905592","439, 76, 278","0.011545478, 0.012939645, 0.015305008"
144,144,"252, 490, 111","0.7636391435382108, 0.7300492511796371, 0.721178230082303","23, 441, 252","0.09051388, 0.11445552, 0.119905315"
145,145,"72, 350, 197","0.7514033809351311, 0.7513238827222429, 0.7394918388479824","412, 213, 1","0.00046004265, 0.0016449501, 0.010899472"
146,146,"56, 330, 319","0.8549725228263293, 0.8338334855379282, 0.7549662687357711","56, 210, 429","0.0005960322, 0.0049380064, 0.011566193"
147,147,"488, 383, 307","0.7810167550230026, 0.7395125714870245, 0.7085016556747543","383, 313, 36","0.01442986, 0.019562708, 0.03786797"
148,148,"305, 158, 301","0.7258290530432208, 0.7245907151063341, 0.7216261010882735","305, 158, 481","0.011411149, 0.028939351, 0.031421646"
149,149,"235, 173, 277","0.8723898910813567, 0.7728736763308828, 0.7696491859876341","66, 140, 235","0.009107603, 0.013115288, 0.060899854"
150,150,"102, 497, 485","0.8372462175628448, 0.8349603960065339, 0.8073498078614405","338, 380, 152","0.017131284, 0.017778698, 0.026557233"
151,151,"187, 67, 178","0.7237001140044285, 0.7071105368202293, 0.6899983015232334","202, 389, 499","0.016172841, 0.03299734, 0.033127386"
152,152,"338, 355, 96","0.8282015950021387, 0.7762175020440332, 0.7737683879058567","456, 380, 150","0.002946191, 0.0229212, 0.026557233"
153,153,"234, 55, 161","0.9362928771157356, 0.9248528534688865, 0.90920818842115","234, 55, 257","0.009556022, 0.013497718, 0.02655439"
154,154,"139, 10, 287","0.8040464911357255, 0.8008566682402938, 0.7913531217468043","10, 43, 245","0.006892455, 0.009987702, 0.013042718"
155,155,"315, 409, 187","0.794466286601775, 0.756350941822296, 0.7511935110097119","17, 157, 315","0.014945288, 0.03305455, 0.04559956"
156,156,"225, 214, 423","0.8899875311219189, 0.8594006696662966, 0.8414613524168376","114, 321, 328","0.04581093, 0.052511014, 0.10154931"
157,157,"190, 54, 315","0.7425075586566174, 0.7215918866173147, 0.694692305639644","54, 409, 368","0.0139401285, 0.015410016, 0.028702537"
158,158,"416, 238, 7","0.762258454851801, 0.7398942863705822, 0.733970868420372","148, 305, 263","0.028939351, 0.04701223, 0.08015503"
159,159,"469, 490, 351","0.7843057813252585, 0.7798661681528808, 0.7669087376232915","408, 354, 469","0.054648384, 0.070332184, 0.070336744"
160,160,"404, 170, 233","0.7530112078445155, 0.7405779571779257, 0.7191278969948426","404, 279, 262","0.023998965, 0.035258874, 0.057087038"
161,161,"112, 339, 153","0.935505117004335, 0.910784351020712, 0.90920818842115","112, 339, 68","0.0027063135, 0.0062582353, 0.007096711"
162,162,"45, 62, 341","0.7645301073646262, 0.7525776206880967, 0.749668412763982","44, 115, 74","0.003006795, 0.0035540138, 0.0055529154"
163,163,"116, 361, 433","0.7689664788144773, 0.6946251142840929, 0.6727442001778139","116, 361, 433","0.0017559715, 0.031878404, 0.09001182"
164,164,"167, 195, 223","0.921356885233147, 0.900536700963729, 0.8947524569493194","415, 348, 289","0.0123368725, 0.030174866, 0.041706093"
165,165,"138, 323, 482","0.907163134756187, 0.8996829556132219, 0.8870966058115128","323, 141, 471","0.007299265, 0.011841819, 0.012774511"
166,166,"207, 228, 469","0.7630955894506728, 0.7013855403653416, 0.6992260116816534","304, 299, 207","0.029371006, 0.050002337, 0.051845647"
167,167,"223, 195, 164","0.940052084611304, 0.9219198043307629, 0.921356885233147","223, 142, 387","0.0012205141, 0.010596706, 0.01310976"
168,168,"365, 250, 226","0.6545137122217201, 0.6479113011587739, 0.6462362180593436","52, 365, 0","0.041394774, 0.09790935, 0.11537159"
169,169,"126, 289, 407","0.7236087205764777, 0.6481633772516364, 0.6451903844735689","126, 470, 134","0.001435466, 0.020863106, 0.10331076"
170,170,"404, 230, 355","0.7829750284767699, 0.7738870267860392, 0.7728645246327304","95, 400, 336","0.005968761, 0.03848894, 0.05079254"
171,171,"211, 94, 32","0.757201338040655, 0.7157988521895385, 0.71193575680261","347, 85, 53","0.029404895, 0.029523868, 0.12969057"
172,172,"399, 134, 57","0.7423246874645218, 0.7378491588701558, 0.7361953384313187","434, 402, 257","0.004460469, 0.012777671, 0.027355019"
173,173,"455, 317, 268","0.8270814445890965, 0.81426747134541, 0.7956168910550205","439, 254, 375","0.023757113, 0.028144047, 0.037619993"
174,174,"232, 331, 45","0.7187783455473179, 0.709681689355416, 0.6829352093449254","232, 340, 283","0.051089376, 0.08879991, 0.254507"
175,175,"139, 440, 154","0.8094378061279125, 0.8076003627970773, 0.7791798761165012","139, 121, 467","0.003550078, 0.021580124, 0.061866216"
176,176,"1, 350, 412","0.7985226992163117, 0.7368660815052406, 0.7257908247772142","1, 350, 412","0.0012518198, 0.009254362, 0.014780786"
177,177,"292, 279, 373","0.70340070749804, 0.6574650324952785, 0.6390602115796646","292, 60, 393","0.0037193585, 0.005343249, 0.012110772"
178,178,"18, 322, 96","0.8400305599649275, 0.815035113549425, 0.8041453709047658","465, 203, 184","0.0043816483, 0.014254522, 0.02671301"
179,179,"249, 496, 377","0.8595070665062182, 0.8578179489084958, 0.8537866270066121","220, 34, 57","0.00078437815, 0.002682421, 0.0033536511"
180,180,"61, 333, 478","0.7742145080455399, 0.7733335373600576, 0.7417046136657446","61, 284, 256","0.026559416, 0.03449842, 0.07953172"
181,181,"279, 173, 230","0.7617420607967426, 0.7330056294021635, 0.7327817939596757","267, 336, 404","0.027448919, 0.03360257, 0.047444474"
182,182,"386, 422, 277","0.7535421989572451, 0.7521268832174428, 0.7422467679404904","36, 28, 425","0.0133406855, 0.03699059, 0.06099629"
183,183,"82, 319, 120","0.683674508454261, 0.6131443096294019, 0.5880716360866842","483, 209, 41","0.014794235, 0.015780993, 0.026716802"
184,184,"118, 322, 178","0.7950355272496678, 0.7457715059893567, 0.7010681610905044","13, 465, 178","0.0031260524, 0.011032234, 0.02671301"
185,185,"22, 261, 38","0.7021192128113264, 0.6899777937415088, 0.6279830160458124","38, 343, 261","0.0021761213, 0.008598743, 0.025648762"
186,186,"313, 132, 492","0.8979239160691836, 0.769236074297739, 0.7691568169424642","20, 199, 313","0.0073202373, 0.008001516, 0.010309494"
187,187,"315, 155, 128","0.7591954478267756, 0.7511935110097119, 0.7501726085079339","452, 396, 351","0.051729176, 0.10615164, 0.11578957"
188,188,"249, 458, 189","0.8768572666663318, 0.8746072611579077, 0.8704073672067939","462, 364, 189","0.010486243, 0.07194196, 0.11367501"
189,189,"249, 496, 364","0.9143390225813004, 0.8970590226452708, 0.8876246642811351","249, 364, 458","0.0031045391, 0.0051331683, 0.03739153"
190,190,"54, 351, 155","0.774391707835983, 0.7667048061998678, 0.7497835583343683","370, 155, 17","0.018902978, 0.048419893, 0.06964936"
191,191,"215, 39, 295","0.801682755670875, 0.7946819067007106, 0.7714814610912779","466, 78, 215","0.0014851204, 0.005930367, 0.009856516"
192,192,"294, 342, 263","0.7053103537286628, 0.688339407659613, 0.5631024922144838","222, 342, 237","0.04732107, 0.053641938, 0.07158594"
193,193,"131, 493, 8","0.7418999557529106, 0.7325514964054555, 0.722010046399409","329, 297, 362","0.005491024, 0.0076972404, 0.00796497"
194,194,"243, 27, 117","0.7686474964276041, 0.7398737504242944, 0.7343122074240602","243, 117, 325","0.01191668, 0.01668564, 0.0247152"
